Scenario,Class,Technology,Year,Value
Moderate,7,Technology 1,2037,3539.894976
Moderate,7,Technology 1,2038,3542.740224
Moderate,7,Technology 1,2039,3545.5854719999998
Moderate,7,Technology 1,2040,3548.43072
Moderate,7,Technology 1,2041,3551.275968
Moderate,7,Technology 1,2042,3554.121216
Moderate,7,Technology 1,2043,3556.9664639999996
Moderate,7,Technology 1,2044,3559.8117119999997
Moderate,7,Technology 1,2045,3562.65696
Moderate,7,Technology 1,2046,3565.5022080000003
Moderate,7,Technology 1,2047,3568.347456
Moderate,7,Technology 1,2048,3571.192704
Moderate,7,Technology 1,2049,3574.037952
Moderate,7,Technology 1,2050,3576.8832
Conservative,7,Technology 1,2022,3296.8746666666616
Conservative,7,Technology 1,2023,3301.390933333332
Conservative,7,Technology 1,2024,3305.907199999994
Conservative,7,Technology 1,2025,3310.4234666666644
Conservative,7,Technology 1,2026,3314.939733333327
Conservative,7,Technology 1,2027,3319.4559999999974
Conservative,7,Technology 1,2028,3323.972266666659
